broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal cell,,VIM,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,MMP2,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CDH2,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,TNC,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ACTA2,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,WNT5A,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ZEB1,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,FN1,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ZEB2,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ITGA5,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,TWIST1,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,SNAI2,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CD44,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,S100A4,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,N‐cadherin,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,COL1A1,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,COL3A1,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,DCN,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,COL1A2,Human,Ovary,Ovary,Ovarian Cancer,Cancer cell,Mesenchymal cell
