broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal stem cell,,CD45,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD31,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,HLA-DR,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD34,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD73,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,HLA-I,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD29,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD105,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD44,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD90,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD14,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD133,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD26,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,PTPRC,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,PECAM1,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NT5E,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ITGB1,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,THY1,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,PROM1,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,DPP4,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD105,Human,Umbilical cord,Whartons jelly,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stromal cell,Immunosuppression and tissue repair,CD73,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stromal cell
Mesenchymal stromal cell,Angiogenesis,CD105,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stromal cell
Mesenchymal stromal cell,Cell adhesion and signal transduction,CD90,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stromal cell
Mesenchymal stromal cell,Immunosuppression and tissue repair,NT5E,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stromal cell
Mesenchymal stromal cell,Cell adhesion and signal transduction,THY1,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Mesenchymal stromal cell
Trophoblast cell,,Cytokeratin,Human,Umbilical cord,Umbilical cord,Normal,Normal cell,Trophoblast cell
Umbilical cord blood cell,,CD34,Human,Umbilical cord,Umbilical cord blood,Normal,Normal cell,Umbilical cord blood (CB) cell
Umbilical cord blood cell,,CD34,Human,Umbilical cord,Umbilical cord blood,Normal,Normal cell,Umbilical cord blood (CB) cell
