species,tissue_class,tissue_type,uberonongology_id,cancer_type,cell_type,cell_name,cellontology_id,marker,Symbol
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,RTKN2,RTKN2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CTLA4,CTLA4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,GBP2,GBP2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL2RA,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,ICA1,ICA1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL2RA,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CTLA4,CTLA4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL-2RA,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IKZF2,IKZF2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CTLA-4,CTLA4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,TIGIT,TIGIT
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,Foxp3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL2RA,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IKZF2,IKZF2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,TNFRSF4,TNFRSF4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,TIGIT,TIGIT
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,S1PR4,S1PR4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IKZF2,IKZF2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL2RA,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL10RA,IL10RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,PTKN2,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CDC25B,CDC25B
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3E,CD3E
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3D,CD3D
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,RTKN2,RTKN2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FoxP3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,ICOS,ICOS
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,BATF,BATF
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CTLA4,CTLA4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,BACH2,BACH2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,TIGIT,TIGIT
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,PRDM1,PRDM1
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3D,CD3D
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL2RA,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IL2RA,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD25,IL2RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,TIGIT,TIGIT
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,FOXP3,FOXP3
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,IKZF2,IKZF2
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD3,
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD125,IL5RA
Human,Blood,Blood,UBERON_0000178,Normal,Normal cell,Regulatory T(Treg) cell,CL_0000815,CD4,CD4
