broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Stem cell,Cancer,CD13,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,OV-6,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,EpCAM,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD44,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD133,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD24,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD117,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,CD90,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,ANPEP,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
Stem cell,Cancer,PROM1,Human,Liver,Liver,Hepatocellular Carcinoma,Cancer cell,Cancer stem cell
