broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Monocyte,,CD31,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD14,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD16,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD11c,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD68,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CSF3R,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD34,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,ITGAM,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,VCAN,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,S100A8,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,HLA-DR,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD64,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CCR2,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,SLAN,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CD163,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,S100A12,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,FCGR3A,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,MS4A7,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,FCN1,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,FGD2,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CTSS,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,CST3,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,LST1,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,PECAM1,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,FCGR1A,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
Monocyte,,SECISBP2L,Human,Bone marrow,Bone marrow,Normal,Normal cell,Monocyte
